method,n_test,MAE_Tongji,MAPE_%,q_hat_Severson,PICP_conformal,MPIW_conformal
Deep Ensemble PINN-Knee,19,316.78537716363604,98.3468569645035,686.2537841796875,0.8947368421052632,1372.507568359375
Gaussian Process,19,321.5263157894737,100.0,309.93490175089477,0.5789473684210527,619.8698035017895
NGBoost,19,139.74846117744764,54.828582939581864,475.55095352135424,1.0,951.1019070427085
Hyper-Deep Ensemble,19,316.78537716363604,98.3468569645035,686.2537841796875,0.8947368421052632,1372.507568359375
