cell_name,y_true,a_mean,a_std,b_mean,b_std,c_mean,c_std,d_mean,d_std,s_mean,s_std
SEV_batch1_c000,701.0,0.445912766456604,0.07986067269969603,0.5147322297096253,0.033427440576031815,0.2179703690111637,0.18625328159531906,0.20486727356910706,0.02008799063441682,0.7371180415153503,0.038516998986592846
SEV_batch1_c003,876.0,0.41082660257816317,0.11949810797135876,0.5031082153320312,0.026498729237358902,0.2639110781252384,0.1933091944929997,0.19241175651550294,0.026683448980256468,0.7339740037918091,0.06592000248360919
SEV_batch1_c004,877.0,0.4207064777612686,0.11422422970557597,0.5127506792545319,0.032605519976756564,0.2626144625246525,0.22759789707519842,0.19687229692935942,0.033450842063452384,0.744792127609253,0.06838691741337596
SEV_batch1_c005,906.0,0.4407778263092041,0.07951986676373479,0.48055540919303896,0.015179302604238139,0.2484140157699585,0.24306689533304682,0.20239113867282868,0.017213309730640995,0.7552400708198548,0.0630997456297283
SEV_batch1_c006,518.0,0.38306843042373656,0.10681549082691838,0.4901263952255249,0.02565930403740851,0.17201776802539825,0.19280604007621208,0.2009126514196396,0.037859606256074575,0.6939170718193054,0.10571517242073909
SEV_batch1_c007,569.0,0.37707125544548037,0.1198977175158842,0.4818208754062653,0.022444756960794923,0.2576180621981621,0.2174222745369501,0.1818980097770691,0.021335993608522345,0.6841861605644226,0.06951935649212287
SEV_batch1_c008,494.0,0.4873579919338226,0.031162165345716347,0.4676101565361023,0.01577153460598744,0.24003374576568604,0.27697476553152783,0.1886330395936966,0.013107210024865196,0.7253912925720215,0.028907786017901674
SEV_batch1_c009,887.0,0.5357706665992736,0.05586979334879294,0.49481093883514404,0.016209876251478045,0.2724864691495895,0.2830727946421778,0.19607651233673096,0.01870539813877709,0.7617138862609864,0.05068506090547011
SEV_batch1_c010,506.0,0.5216154217720032,0.07717114968383913,0.4711919605731964,0.07062241267593677,0.26778966635465623,0.2995812182615523,0.1652375228703022,0.08702814652890976,0.7934707999229431,0.08451275500342911
SEV_batch1_c011,507.0,0.3777623355388641,0.11722724123925315,0.49154828786849974,0.054372254769946615,0.15822997465729713,0.19424413063262239,0.22346485257148743,0.044837674959922816,0.7073208928108216,0.07361280625113996
SEV_batch1_c012,504.0,0.47061012387275697,0.07649506796117926,0.5142274141311646,0.01736644745815009,0.22326399013400078,0.24832992437656,0.20597760379314423,0.038277932113428295,0.7564840197563172,0.041599557542719934
SEV_batch1_c013,500.0,0.45155110359191897,0.07859526752030027,0.5136130452156067,0.02216633929055034,0.24950767159461976,0.2162107393742661,0.2134988158941269,0.025763854337787842,0.7637949705123901,0.030493176933546296
SEV_batch1_c014,522.0,0.4321127891540527,0.15170226619076232,0.5195566236972808,0.015585963647625968,0.23178629577159882,0.2985482506860703,0.2013569325208664,0.020250281967948706,0.7308969020843505,0.07387390736515018
SEV_batch1_c015,517.0,0.5187009871006012,0.05410791383881104,0.5000206351280212,0.03289905668957746,0.2665156275033951,0.318948594364651,0.18727012276649474,0.03567075366949486,0.7709889769554138,0.10977163198764842
SEV_batch1_c016,525.0,0.38917274177074435,0.14166824140353143,0.49437704086303713,0.03509245463699157,0.2552866660058498,0.20322787685320234,0.18827480673789979,0.02192992305039377,0.7241554617881775,0.0735394349687346
SEV_batch1_c017,507.0,0.4633487701416016,0.11391099490816257,0.5146872997283936,0.010017042776571849,0.2220512941479683,0.25812428351310995,0.21085697412490845,0.01664194271664716,0.7393092036247253,0.06949332416785732
SEV_batch1_c019,507.0,0.524452668428421,0.03675892973398001,0.49758501052856446,0.0165848642198946,0.24864402562379836,0.25963787107905373,0.19913485944271087,0.0054091786429922495,0.7771389603614807,0.065139447905682
SEV_batch1_c020,421.0,0.46911255419254305,0.14386040830057817,0.5231987416744233,0.08362994434701874,0.05111179947853088,0.43368805249563025,0.17899738848209382,0.04655936507550235,0.7781500816345215,0.1723376402076997
SEV_batch1_c021,462.0,0.27121220231056214,0.1487864159934096,0.37780892848968506,0.05215007599636394,0.06760991960763932,0.29471791307430995,0.13142449259757996,0.06832504934605108,0.5289175152778626,0.16273740236492354
SEV_batch1_c022,793.0,0.530856591463089,0.03114642138985721,0.516532552242279,0.009573324481753926,0.29860754907131193,0.2518612376177223,0.21408093571662903,0.01032376385137683,0.8047638654708862,0.03815551972986472
SEV_batch1_c023,891.0,0.46545230150222777,0.11786241376867097,0.5169965863227844,0.006099946087010318,0.2910354733467102,0.21998211795691777,0.21487759947776794,0.009808709708226693,0.7937768936157227,0.036250764671703434
SEV_batch1_c024,208.0,0.4568064033985138,0.09839775891401514,0.5165904521942138,0.0265381669748944,0.2681966260075569,0.20290900672721535,0.2140704721212387,0.01619904741289904,0.7878444790840149,0.017328867074579854
SEV_batch1_c025,569.0,0.4379162073135376,0.09886716933403521,0.5241854429244995,0.018785974068569772,0.20678815096616746,0.22797788958659718,0.22029930651187896,0.018729846714830065,0.7664726614952088,0.04778657874809422
SEV_batch1_c026,431.0,0.42510356605052946,0.12022244850049749,0.5056632399559021,0.012056869926721813,0.28796896189451215,0.19110129815051113,0.19166378080844879,0.018996007127198674,0.7398409485816956,0.0642842932233275
SEV_batch1_c027,502.0,0.5298481702804565,0.036494589291894836,0.517621374130249,0.009187413499026619,0.2860892042517662,0.2543743730326386,0.21206415295600892,0.012403430369075808,0.7997915029525757,0.0467978626288301
SEV_batch1_c029,505.0,0.5288222074508667,0.06316969549907692,0.5058298647403717,0.022005946437956364,0.2356955736875534,0.28020378620843567,0.19683594703674318,0.03055454924041374,0.806036901473999,0.050640521166563104
SEV_batch1_c030,432.0,0.4425096273422241,0.09739866792233957,0.5186263680458069,0.002748073343728258,0.24042921289801597,0.2170135292571857,0.2083355575799942,0.00925403207397318,0.7499127864837647,0.0438663006554257
SEV_batch1_c031,629.0,0.48546433448791504,0.04245649665193826,0.45654035210609434,0.022823693313426388,0.26726147830486296,0.2772464570261611,0.17961093485355378,0.028422362638165298,0.7065144658088685,0.036611315797021864
SEV_batch1_c034,541.0,0.4299777030944824,0.10702494274068441,0.528076958656311,0.025660383669249456,0.23493456989526748,0.20580743383032718,0.22444433569908143,0.015793450905384282,0.7579352378845214,0.032536935900181224
SEV_batch1_c035,495.0,0.45529893040657043,0.09989430030361149,0.5125605463981628,0.024405855758304004,0.25184132233262063,0.2026400889802064,0.21218169927597047,0.01624108002188815,0.7848221182823181,0.01856243911253202
SEV_batch1_c036,490.0,0.43091133832931516,0.11830757253742227,0.5267143726348877,0.013378982380074358,0.23370386213064193,0.20755068921919712,0.22045234441757203,0.01377601077814219,0.7536565661430359,0.03572243987812065
SEV_batch1_c037,438.0,0.43120814561843873,0.1243173630534176,0.5291954040527344,0.016607164501739092,0.20712241306900978,0.20961189925956356,0.21885427832603455,0.017687067979548127,0.7515845775604248,0.049815760816262385
SEV_batch1_c039,504.0,0.5193846642971038,0.03890645354517289,0.5009413063526154,0.009413725326652602,0.209495148062706,0.29582399459891956,0.19624851942062377,0.00962681325410661,0.7802960991859436,0.03275291306729123
SEV_batch1_c040,485.0,0.441083163022995,0.09260704276186421,0.5010463714599609,0.016460146691605785,0.19431542754173278,0.24327637247261852,0.2000950425863266,0.02247822064135828,0.739883553981781,0.05430448470946971
SEV_batch1_c042,500.0,0.5308281421661377,0.06613879980722943,0.5130651593208313,0.01819081681502595,0.22074770778417588,0.2706168432649028,0.1987278491258621,0.02539876917318679,0.8132200360298156,0.039515382862883565
SEV_batch1_c043,498.0,0.502932357788086,0.06573820950320862,0.49677665829658507,0.01397173211972114,0.19943727999925615,0.319537436124458,0.1854379802942276,0.02184339676506558,0.7734495520591735,0.04710670657700765
SEV_batch1_c044,500.0,0.42668346166610716,0.10400725444480845,0.4765907824039459,0.014042921326388604,0.20058828219771385,0.2702678790964295,0.17468208968639373,0.015379716537329332,0.7099615335464478,0.07684616805795678
SEV_batch1_c045,506.0,0.463186240196228,0.10034840050682814,0.5016965270042419,0.011947845603053706,0.22980384528636932,0.23180512800265812,0.199588280916214,0.016317534809030695,0.7643440961837769,0.049730600480739455
SEV_batch2_c002,246.0,0.41497220396995543,0.14812342036076,0.5073507249355316,0.030444106848474532,0.09533199071884155,0.1535250027684207,0.19877757728099824,0.023121775288558608,0.6783565640449524,0.09870555535035759
SEV_batch2_c003,248.0,0.4268371403217316,0.1418958582505525,0.5572983741760253,0.1180792080552208,-0.01620531305670738,0.39639771986878014,0.2621029019355774,0.10432985784753032,0.8621663928031922,0.14756610122746455
SEV_batch2_c004,245.0,0.5030201643705368,0.22133046341102164,0.590727424621582,0.16314279484549996,0.22062778919935228,0.4386320328653055,0.17850747406482698,0.051435702491209136,0.6838184267282486,0.3215361964242063
SEV_batch2_c005,390.0,0.4211044430732727,0.09668210881785017,0.5246087312698364,0.016486624769062427,0.049406712502241136,0.19084549511969098,0.21579464375972748,0.007043080533731493,0.7658195734024048,0.040418217911046085
SEV_batch2_c006,256.0,0.6218091130256653,0.11485738275649479,0.6383176684379578,0.10443501869719539,0.05277840495109558,0.471870189026955,0.289931583404541,0.07078118715790783,1.0435062766075134,0.22549041472922116
SEV_batch2_c009,309.0,0.38895684480667114,0.1357804012375252,0.46386409997940065,0.05433248930664556,0.08232048004865647,0.2579251186633051,0.20768460929393767,0.04540615556702358,0.6800881743431091,0.15362437963007403
SEV_batch2_c010,249.0,0.3808326184749603,0.1355537105503172,0.48413476943969724,0.020750213574548478,-0.022641056776046754,0.2842833552532397,0.18829642236232758,0.014983820146941893,0.6878879189491272,0.0840518329370772
SEV_batch2_c011,248.0,0.48603894710540774,0.06581992747528247,0.4725721776485443,0.019409166506869503,0.031998027861118314,0.2757441027544556,0.18979964554309844,0.012246402465890796,0.7025704145431518,0.04929313186672273
SEV_batch2_c012,252.0,0.3860847860574722,0.14436057159041693,0.5349823236465454,0.045969327880103765,-0.02043803259730339,0.3591723848340971,0.23225799202919006,0.05601312054296368,0.7784291863441467,0.045695142135395925
SEV_batch2_c013,244.0,0.506074845790863,0.16089124910292577,0.579295688867569,0.20449669243400737,0.22953571528196334,0.47483991421415894,0.17446267306804658,0.04751259295594411,0.7102697372436524,0.26515154393234436
SEV_batch2_c014,249.0,0.5366170167922973,0.07355842691562968,0.5258644938468933,0.003799357086747062,0.13281699419021606,0.25508140733597473,0.2077878475189209,0.008715883732345707,0.8213237166404724,0.03294863725840991
SEV_batch2_c018,246.0,0.5305371165275574,0.12637484451256936,0.4785515546798706,0.07176990216171995,0.20632274746894835,0.35840274516877507,0.21501179933547973,0.08949764334718624,0.7422989130020141,0.0856868359033554
SEV_batch2_c020,247.0,0.46616679430007935,0.11919305375880646,0.49798583984375,0.030710821495876613,0.15368078351020814,0.1848979973757603,0.2015675723552704,0.019264570295949177,0.7581620454788208,0.08050895471835136
SEV_batch2_c021,250.0,0.42941856682300567,0.14031471935170256,0.5080766081809998,0.0277688383710055,0.072244181483984,0.24834057914361768,0.20443713963031768,0.016039464029398424,0.7283992886543273,0.07860820704010142
SEV_batch2_c022,245.0,0.503618061542511,0.0910825291705545,0.49225316643714906,0.020668583481536766,0.09507639855146408,0.27810097398197775,0.19886348843574525,0.009202786787983508,0.759555435180664,0.03518274868545973
SEV_batch2_c023,246.0,0.3806021511554718,0.1609224910629489,0.4995980799198151,0.031069024847824204,0.085370634496212,0.26177751509562686,0.20154260098934174,0.012281133101101904,0.686766505241394,0.07664628734821018
SEV_batch2_c024,247.0,0.5510602295398712,0.045719068244676836,0.528009569644928,0.013485095678176118,0.15412451475858688,0.2103451241191105,0.22218207716941835,0.014684798490261506,0.8198800444602966,0.04445798377758977
SEV_batch2_c025,249.0,0.49618505835533144,0.05258280940177002,0.4757064521312714,0.01672505025076816,0.03789580091834068,0.25606075666281725,0.18986200392246247,0.012298202356028002,0.7182798504829406,0.0577693057322921
SEV_batch2_c026,249.0,0.4989858567714691,0.056393781784590216,0.48528083562850954,0.029040973748396953,0.08880662396550179,0.2500731854644979,0.19030289649963378,0.01850176950888866,0.7200165033340454,0.019484954376117775
SEV_batch2_c028,248.0,0.44164194762706754,0.19414750988094664,0.49170507192611695,0.05525338788370477,0.1497531935572624,0.17058679429841497,0.20429705679416657,0.01636878242192762,0.7024381518363952,0.11304585132144636
SEV_batch2_c029,245.0,0.4977787911891937,0.11328005983201853,0.5091982662677765,0.02483005458115117,0.21950774118304253,0.2547821159122743,0.2050327777862549,0.03289416356307692,0.7522744178771973,0.06764543102937194
