n_early,fold,seed,nominal,PICP,MPIW,MAE
50,0,0,0.9,0.9565217391304348,850.956995690075,121.82564716663742
50,0,0,0.95,0.9565217391304348,1076.295110657474,121.82564716663742
50,0,1,0.9,0.9565217391304348,850.956995690075,121.82564716663742
50,0,1,0.95,0.9565217391304348,1076.295110657474,121.82564716663742
50,0,2,0.9,0.9565217391304348,850.956995690075,121.82564716663742
50,0,2,0.95,0.9565217391304348,1076.295110657474,121.82564716663742
50,1,0,0.9,0.9130434782608695,883.1291544797307,142.1787566367645
50,1,0,0.95,0.9565217391304348,1120.5153144767107,142.1787566367645
50,1,1,0.9,0.9130434782608695,883.1291544797307,142.1787566367645
50,1,1,0.95,0.9565217391304348,1120.5153144767107,142.1787566367645
50,1,2,0.9,0.9130434782608695,883.1291544797307,142.1787566367645
50,1,2,0.95,0.9565217391304348,1120.5153144767107,142.1787566367645
50,2,0,0.9,0.8695652173913043,861.668234761836,202.94019761624975
50,2,0,0.95,0.9130434782608695,1089.9425384888384,202.94019761624975
50,2,1,0.9,0.8695652173913043,861.668234761836,202.94019761624975
50,2,1,0.95,0.9130434782608695,1089.9425384888384,202.94019761624975
50,2,2,0.9,0.8695652173913043,861.668234761836,202.94019761624975
50,2,2,0.95,0.9130434782608695,1089.9425384888384,202.94019761624975
50,3,0,0.9,0.8260869565217391,717.644284640443,168.7874312925328
50,3,0,0.95,0.8695652173913043,900.6203833322085,168.7874312925328
50,3,1,0.9,0.8260869565217391,717.644284640443,168.7874312925328
50,3,1,0.95,0.8695652173913043,900.6203833322085,168.7874312925328
50,3,2,0.9,0.8260869565217391,717.644284640443,168.7874312925328
50,3,2,0.95,0.8695652173913043,900.6203833322085,168.7874312925328
50,4,0,0.9,0.8260869565217391,726.8212225321763,176.53753485532206
50,4,0,0.95,0.8260869565217391,895.106680179782,176.53753485532206
50,4,1,0.9,0.8260869565217391,726.8212225321763,176.53753485532206
50,4,1,0.95,0.8260869565217391,895.106680179782,176.53753485532206
50,4,2,0.9,0.8260869565217391,726.8212225321763,176.53753485532206
50,4,2,0.95,0.8260869565217391,895.106680179782,176.53753485532206
100,0,0,0.9,1.0,812.4693727954744,113.90088856586198
100,0,0,0.95,1.0,1018.9643192541461,113.90088856586198
100,0,1,0.9,1.0,812.4693727954744,113.90088856586198
100,0,1,0.95,1.0,1018.9643192541461,113.90088856586198
100,0,2,0.9,1.0,812.4693727954744,113.90088856586198
100,0,2,0.95,1.0,1018.9643192541461,113.90088856586198
100,1,0,0.9,0.9565217391304348,799.9182774197693,144.05348008934462
100,1,0,0.95,0.9565217391304348,1003.0956677617178,144.05348008934462
100,1,1,0.9,0.9565217391304348,799.9182774197693,144.05348008934462
100,1,1,0.95,0.9565217391304348,1003.0956677617178,144.05348008934462
100,1,2,0.9,0.9565217391304348,799.9182774197693,144.05348008934462
100,1,2,0.95,0.9565217391304348,1003.0956677617178,144.05348008934462
100,2,0,0.9,0.9523809523809523,769.5985364373136,147.61652726578527
100,2,0,0.95,0.9523809523809523,962.2109081984602,147.61652726578527
100,2,1,0.9,0.9523809523809523,769.5985364373136,147.61652726578527
100,2,1,0.95,0.9523809523809523,962.2109081984602,147.61652726578527
100,2,2,0.9,0.9523809523809523,769.5985364373136,147.61652726578527
100,2,2,0.95,0.9523809523809523,962.2109081984602,147.61652726578527
100,3,0,0.9,0.8695652173913043,725.623018652144,173.7164000794349
100,3,0,0.95,0.8695652173913043,902.8114120306786,173.7164000794349
100,3,1,0.9,0.8695652173913043,725.623018652144,173.7164000794349
100,3,1,0.95,0.8695652173913043,902.8114120306786,173.7164000794349
100,3,2,0.9,0.8695652173913043,725.623018652144,173.7164000794349
100,3,2,0.95,0.8695652173913043,902.8114120306786,173.7164000794349
100,4,0,0.9,0.8636363636363636,727.6638565973299,159.25868878116583
100,4,0,0.95,0.8636363636363636,897.4394150382883,159.25868878116583
100,4,1,0.9,0.8636363636363636,727.6638565973299,159.25868878116583
100,4,1,0.95,0.8636363636363636,897.4394150382883,159.25868878116583
100,4,2,0.9,0.8636363636363636,727.6638565973299,159.25868878116583
100,4,2,0.95,0.8636363636363636,897.4394150382883,159.25868878116583
150,0,0,0.9,0.9090909090909091,521.6666927115385,96.48490421968559
150,0,0,0.95,0.9090909090909091,634.742789955486,96.48490421968559
150,0,1,0.9,0.9090909090909091,521.6666927115385,96.48490421968559
150,0,1,0.95,0.9090909090909091,634.742789955486,96.48490421968559
150,0,2,0.9,0.9090909090909091,521.6666927115385,96.48490421968559
150,0,2,0.95,0.9090909090909091,634.742789955486,96.48490421968559
150,1,0,0.9,0.9130434782608695,545.631642740125,113.12419910569042
150,1,0,0.95,0.9130434782608695,666.5774477140093,113.12419910569042
150,1,1,0.9,0.9130434782608695,545.631642740125,113.12419910569042
150,1,1,0.95,0.9130434782608695,666.5774477140093,113.12419910569042
150,1,2,0.9,0.9130434782608695,545.631642740125,113.12419910569042
150,1,2,0.95,0.9130434782608695,666.5774477140093,113.12419910569042
150,2,0,0.9,1.0,570.8694436434478,106.01194209166131
150,2,0,0.95,1.0,698.3429191762477,106.01194209166131
150,2,1,0.9,1.0,570.8694436434478,106.01194209166131
150,2,1,0.95,1.0,698.3429191762477,106.01194209166131
150,2,2,0.9,1.0,570.8694436434478,106.01194209166131
150,2,2,0.95,1.0,698.3429191762477,106.01194209166131
150,3,0,0.9,0.9523809523809523,594.9483624921428,131.1925925603179
150,3,0,0.95,0.9523809523809523,737.3126004419819,131.1925925603179
150,3,1,0.9,0.9523809523809523,594.9483624921428,131.1925925603179
150,3,1,0.95,0.9523809523809523,737.3126004419819,131.1925925603179
150,3,2,0.9,0.9523809523809523,594.9483624921428,131.1925925603179
150,3,2,0.95,0.9523809523809523,737.3126004419819,131.1925925603179
150,4,0,0.9,0.85,498.063510917512,135.01346749092846
150,4,0,0.95,0.85,602.455885314348,135.01346749092846
150,4,1,0.9,0.85,498.063510917512,135.01346749092846
150,4,1,0.95,0.85,602.455885314348,135.01346749092846
150,4,2,0.9,0.85,498.063510917512,135.01346749092846
150,4,2,0.95,0.85,602.455885314348,135.01346749092846
