fold,pinn_clean,pinn_bias,pinn_drift,xgb_clean,xgb_bias,xgb_drift,rf_clean,rf_bias,rf_drift
0,94.343796,140.31529,99.939285,107.54629,113.37814,95.68786,81.17521739130434,106.43043478260869,90.51478260869564
1,138.71706,145.9393,130.92065,132.0728,124.56399,134.01108,117.67565217391301,144.28608695652176,137.89217391304348
2,131.36424,175.7943,129.51631,167.72804,139.6056,152.11754,132.76818181818183,116.64590909090909,128.44545454545457
3,162.50441,206.13199,163.23125,163.52687,211.24287,183.48827,201.1469565217391,230.47913043478263,194.19652173913042
4,164.27545,167.06996,166.38231,229.58348,246.10841,224.14662,200.0431818181818,214.3481818181818,202.30772727272725
