fold,fit_cell,seed,knee_fit,n_test,zeroshot,const_1cell,phys_before,delta_before,freeze_physics,freeze_nn,full,phys_after_full,delta_after_full,from_scratch
12,TONGJI_NCM_T45_C0.5_1.0_id14,0,321,18,320.56,132.78,131.4,-452.3,123.62,135.84,124.64,304.6,-29.2,159.82
12,TONGJI_NCM_T45_C0.5_1.0_id14,1,321,18,320.56,132.78,39.1,-451.7,173.19,135.36,160.01,354.4,47.4,175.99
12,TONGJI_NCM_T45_C0.5_1.0_id14,2,321,18,320.56,132.78,20.0,-428.3,126.71,320.56,126.71,20.0,273.3,150.77
13,TONGJI_NCM_T45_C0.5_1.0_id18,0,329,18,320.11,135.0,109.1,-452.3,124.22,136.76,159.6,386.7,7.1,137.9
13,TONGJI_NCM_T45_C0.5_1.0_id18,1,329,18,320.11,135.0,32.0,-451.7,438.42,135.7,128.15,364.3,-150.1,144.1
13,TONGJI_NCM_T45_C0.5_1.0_id18,2,329,18,320.11,135.0,20.0,-428.8,128.81,320.11,128.81,20.0,285.2,156.58
14,TONGJI_NCM_T45_C0.5_1.0_id20,0,414,18,315.39,175.39,81.2,-452.4,201.23,142.52,166.47,417.6,-17.0,244.14
14,TONGJI_NCM_T45_C0.5_1.0_id20,1,414,18,315.39,175.39,20.0,-451.7,195.91,141.9,224.19,449.8,32.3,167.41
14,TONGJI_NCM_T45_C0.5_1.0_id20,2,414,18,315.39,175.39,20.0,-430.7,166.93,315.39,262.44,562.3,-35.0,166.36
15,TONGJI_NCM_T45_C0.5_1.0_id21,0,165,18,329.22,167.11,111.9,-452.3,241.64,158.41,173.41,754.6,-597.3,136.97
15,TONGJI_NCM_T45_C0.5_1.0_id21,1,165,18,329.22,167.11,34.3,-451.7,298.83,174.03,144.17,774.3,-576.0,142.17
15,TONGJI_NCM_T45_C0.5_1.0_id21,2,165,18,329.22,167.11,20.0,-428.7,121.68,329.22,121.68,20.0,279.6,166.46
16,TONGJI_NCM_T45_C0.5_1.0_id22,0,753,18,296.56,457.11,99.0,-452.4,329.27,127.2,495.39,767.2,25.8,475.25
16,TONGJI_NCM_T45_C0.5_1.0_id22,1,753,18,296.56,457.11,20.0,-451.7,341.01,125.81,467.1,761.1,3.7,445.37
16,TONGJI_NCM_T45_C0.5_1.0_id22,2,753,18,296.56,457.11,20.0,-429.7,296.64,296.56,296.64,20.0,552.2,483.39
17,TONGJI_NCM_T45_C0.5_1.0_id26,0,768,18,295.72,471.28,98.3,-452.4,353.32,126.71,510.21,775.5,31.5,485.34
17,TONGJI_NCM_T45_C0.5_1.0_id26,1,768,18,295.72,471.28,20.0,-451.7,343.83,125.09,482.14,774.1,5.2,459.55
17,TONGJI_NCM_T45_C0.5_1.0_id26,2,768,18,295.72,471.28,20.0,-429.6,301.44,295.72,301.44,20.0,558.6,497.1
18,TONGJI_NCM_T45_C0.5_1.0_id09,0,218,18,326.28,134.61,104.4,-453.0,440.49,326.28,123.52,487.4,-220.6,161.78
18,TONGJI_NCM_T45_C0.5_1.0_id09,1,218,18,326.28,134.61,22.9,-451.7,468.8,148.41,134.68,549.3,-331.6,125.11
18,TONGJI_NCM_T45_C0.5_1.0_id09,2,218,18,326.28,134.61,20.0,-428.7,201.88,326.28,201.88,20.0,443.2,320.26
