condition,model_a,model_b,deg_a,deg_b,diff,wilcoxon_p,significant
bias,pinn,xgb,28.8091768,6.888306000000003,21.920870799999996,0.3125,False
bias,pinn,rf,28.8091768,15.87611067193678,12.93306612806322,0.4375,False
drift,pinn,xgb,-0.24303020000000686,-2.2012220000000013,1.9581917999999945,1.0,False
drift,pinn,rf,-0.24303020000000686,4.1094940711462495,-4.352524271146256,0.8125,False
