n_early,param,value
50,a,0.9925652146339417
50,a,0.9967129826545715
50,a,0.996529221534729
50,a,0.9991636276245117
50,a,0.996523916721344
50,a,1.0009315013885498
50,a,1.0077698230743408
50,a,0.9741949439048767
50,a,0.9967714548110962
50,a,0.9971132874488831
50,a,1.0068120956420898
50,a,1.0008388757705688
50,a,0.991196870803833
50,a,1.0015571117401123
50,a,0.9889073371887207
50,a,1.010094404220581
50,a,0.9991711974143982
50,a,0.9996092319488525
50,a,1.0017527341842651
50,a,1.0004911422729492
50,a,1.002714991569519
50,a,1.002426266670227
50,a,1.001238465309143
50,a,0.9772177338600159
50,a,0.9927572011947632
50,a,0.9728140830993652
50,a,0.9847042560577393
50,a,0.9933498501777649
50,a,0.9968902468681335
50,a,0.997244119644165
50,a,0.988394558429718
50,a,0.9856701493263245
50,a,0.9923573732376099
50,a,0.9978055953979492
50,a,0.9962433576583862
50,a,0.9899535179138184
50,a,0.9954840540885925
50,a,0.981691300868988
50,a,0.992738664150238
50,a,0.9964454770088196
50,a,0.9956429600715637
50,a,0.9863418936729431
50,a,0.9962921738624573
50,a,0.9911317825317383
50,a,0.9970301985740662
50,a,0.9969898462295532
50,a,0.9701104760169983
50,a,0.9956257939338684
50,a,0.9604405164718628
50,a,0.975183367729187
50,a,0.9910417795181274
50,a,0.9978716373443604
50,a,1.0160003900527954
50,a,0.9683258533477783
50,a,0.9795129299163818
50,a,0.9906003475189209
50,a,1.0134259462356567
50,a,1.0036848783493042
50,a,0.9866006374359131
50,a,0.9952587485313416
50,a,0.9730685353279114
50,a,1.0006872415542603
50,a,1.009727954864502
50,a,0.9978589415550232
50,a,0.9939478039741516
50,a,0.9981600046157837
50,a,1.0020743608474731
50,a,0.9982731342315674
50,a,0.9957132935523987
50,a,0.9957996010780334
50,a,1.0001879930496216
50,a,0.9952161908149719
50,a,1.005406141281128
50,a,1.0026395320892334
50,a,0.9998648762702942
50,a,1.0016828775405884
50,a,0.9955292344093323
50,a,1.0118776559829712
50,a,0.9980013966560364
50,a,1.0049365758895874
50,a,1.0029915571212769
50,a,0.9996251463890076
50,a,1.001084804534912
50,a,0.9993875622749329
50,a,0.9989138245582581
50,a,1.0071614980697632
50,a,1.0059155225753784
50,a,1.0035418272018433
50,a,0.9952132105827332
50,a,0.9889841675758362
50,a,1.0058794021606445
50,a,1.0049877166748047
50,a,0.9256962537765503
50,a,0.9194523096084595
50,a,0.8982045650482178
50,a,0.9072531461715698
50,a,0.9026661515235901
50,a,0.8868650794029236
50,a,0.9140498042106628
50,a,0.9519783854484558
50,a,0.9121230840682983
50,a,0.923914909362793
50,a,0.9027122855186462
50,a,0.9171229004859924
50,a,0.8929904103279114
50,a,0.9223578572273254
50,a,0.8883557915687561
50,a,0.9075493812561035
50,a,0.9164831042289734
50,a,0.9088752269744873
50,a,0.9176938533782959
50,a,0.8921690583229065
50,a,0.8765010237693787
50,a,0.9164389967918396
50,a,0.9056763052940369
50,a,0.9706548452377319
50,a,0.9781421422958374
50,a,0.9739691615104675
50,a,0.9945059418678284
50,a,0.9885814189910889
50,a,0.9789648056030273
50,a,0.9762797951698303
50,a,0.9698182940483093
50,a,1.004436731338501
50,a,0.9726998209953308
50,a,0.9953137636184692
50,a,1.0008206367492676
50,a,0.9777523279190063
50,a,0.9698399901390076
50,a,0.9749417901039124
50,a,0.9722590446472168
50,a,0.9991623163223267
50,a,0.9916138052940369
50,a,0.9673414826393127
50,a,0.8993686437606812
50,a,0.9831610918045044
50,a,0.992670476436615
50,a,0.9988155961036682
50,a,0.8898099660873413
50,a,0.9925941228866577
50,a,0.9987536072731018
50,a,1.000302791595459
50,a,0.9973674416542053
50,a,1.0025465488433838
50,a,0.99214768409729
50,a,0.997045636177063
50,a,1.002573013305664
50,a,0.9694328904151917
50,a,0.9917022585868835
50,a,1.0010775327682495
50,a,0.9937474131584167
50,a,0.9821603894233704
50,a,0.998538076877594
50,a,0.9954382181167603
50,a,0.9924119710922241
50,a,0.9697144627571106
50,a,0.9836879968643188
50,a,0.9932782053947449
50,a,0.9817227125167847
50,a,0.9646874070167542
50,a,0.9853864312171936
50,a,0.8528009057044983
50,a,0.8965009450912476
50,a,0.8919943571090698
50,a,0.8959863781929016
50,a,0.8908606171607971
50,a,0.8846498727798462
50,a,0.9006543159484863
50,a,0.8995215892791748
50,a,0.9056153893470764
50,a,0.9205368161201477
50,a,0.8735421299934387
50,a,0.9015101790428162
50,a,0.9335038065910339
50,a,0.8772914409637451
50,a,0.8943160772323608
50,a,0.9092743992805481
50,a,0.8898552060127258
50,a,0.8833500146865845
50,a,0.9281614422798157
50,a,0.9100272059440613
50,a,0.9171315431594849
50,a,0.899247944355011
50,a,0.877944827079773
50,a,0.9070796966552734
50,a,0.9701694846153259
50,a,0.9797473549842834
50,a,0.9837762117385864
50,a,0.9671630859375
50,a,0.9783134460449219
50,a,0.9765332937240601
50,a,0.9600179195404053
50,a,0.9826440811157227
50,a,0.9658514857292175
50,a,0.9907143712043762
50,a,0.9835466146469116
50,a,0.971632182598114
50,a,0.8777123689651489
50,a,0.9678048491477966
50,a,0.956055223941803
50,a,0.9536187648773193
50,a,0.8638150691986084
50,a,0.9617254137992859
50,a,0.9727749824523926
50,a,0.9501232504844666
50,a,0.8488792181015015
50,a,0.8739273548126221
50,a,0.9984626770019531
50,a,0.9919528961181641
50,a,0.9955713748931885
50,a,0.9965792894363403
50,a,0.9964057207107544
50,a,1.0026800632476807
50,a,0.9930587410926819
50,a,0.9965173006057739
50,a,0.9810628294944763
50,a,0.9942739605903625
50,a,1.0057997703552246
50,a,0.9926502108573914
50,a,0.9962215423583984
50,a,0.9989656805992126
50,a,0.9971797466278076
50,a,1.0048918724060059
50,a,1.0035839080810547
50,a,0.9885625839233398
50,a,1.0023128986358643
50,a,1.0038354396820068
50,a,0.9947813749313354
50,a,0.9775997996330261
50,a,1.004570484161377
50,a,0.9151942133903503
50,a,0.8791773915290833
50,a,0.9098917245864868
50,a,0.9114453792572021
50,a,0.9162401556968689
50,a,0.8821384310722351
50,a,0.8732770681381226
50,a,0.9218022227287292
50,a,0.9467149376869202
50,a,0.9139047861099243
50,a,0.9090155363082886
50,a,0.9455448985099792
50,a,0.9142104983329773
50,a,0.9131456613540649
50,a,0.9073561429977417
50,a,0.9066253304481506
50,a,0.8911280035972595
50,a,0.9270585179328918
50,a,0.8836334347724915
50,a,0.8955739140510559
50,a,0.8871191143989563
50,a,0.9162673354148865
50,a,0.9036158919334412
50,a,0.9764081239700317
50,a,0.9613892436027527
50,a,0.9762442111968994
50,a,0.9760776162147522
50,a,0.9639551639556885
50,a,0.9772037863731384
50,a,0.9029016494750977
50,a,0.9771252274513245
50,a,0.994580864906311
50,a,0.9694125652313232
50,a,0.9966515302658081
50,a,0.9734218716621399
50,a,0.9791818261146545
50,a,0.9837663769721985
50,a,0.8931832313537598
50,a,0.9804095029830933
50,a,0.9717071056365967
50,a,0.975098729133606
50,a,0.9695429801940918
50,a,0.9752084612846375
50,a,0.9603592753410339
50,a,0.9645023941993713
50,a,0.9820423126220703
50,a,0.9985533356666565
50,a,0.9974374771118164
50,a,0.9958739876747131
50,a,0.9995957612991333
50,a,0.998635470867157
50,a,0.9886017441749573
50,a,1.0018579959869385
50,a,1.0003533363342285
50,a,0.9870866537094116
50,a,0.9963113069534302
50,a,0.9975643754005432
50,a,0.9976093769073486
50,a,0.9968064427375793
50,a,1.000659465789795
50,a,0.99899822473526
50,a,0.9934781193733215
50,a,0.9952462315559387
50,a,0.9962095022201538
50,a,1.0055361986160278
50,a,1.0028414726257324
50,a,0.9944390058517456
50,a,0.9822137355804443
50,a,0.9966762661933899
50,a,0.9047636389732361
50,a,0.9126201868057251
50,a,0.881250262260437
50,a,0.9156534075737
50,a,0.923337459564209
50,a,0.9124014973640442
50,a,0.9100061655044556
50,a,0.9104618430137634
50,a,0.916240394115448
50,a,0.8858150839805603
50,a,0.9333662986755371
50,a,0.9296624064445496
50,a,0.9173426628112793
50,a,0.8948306441307068
50,a,0.9120767712593079
50,a,0.9248310327529907
50,a,0.9162341356277466
50,a,0.8978877067565918
50,a,0.8948606252670288
50,a,0.8937376141548157
50,a,0.92177814245224
50,a,0.9141258597373962
50,a,0.9135181903839111
50,a,0.9649633765220642
50,a,0.9655102491378784
50,a,0.9669383764266968
50,a,0.9818159341812134
50,a,0.9745341539382935
50,a,0.9671489000320435
50,a,0.9888709783554077
50,a,0.9840797185897827
50,a,0.9637041091918945
50,a,0.9866265058517456
50,a,0.9723638296127319
50,a,0.9804596900939941
50,a,0.9698002338409424
50,a,0.9812082052230835
50,a,0.9761732220649719
50,a,0.9727632999420166
50,a,0.9795243740081787
50,a,0.9814327955245972
50,a,0.993779718875885
50,a,0.985404908657074
50,a,0.968874454498291
50,a,0.960327684879303
50,a,0.9759560823440552
50,b,0.004847328178584576
50,b,0.0050501748919487
50,b,0.004404634702950716
50,b,0.005123183596879244
50,b,0.004941373132169247
50,b,0.005029269959777594
50,b,0.005036526825278997
50,b,0.00497067254036665
50,b,0.004963245242834091
50,b,0.004945707973092794
50,b,0.005015081260353327
50,b,0.0049996087327599525
50,b,0.0049752891063690186
50,b,0.005073923617601395
50,b,0.005080976523458958
50,b,0.005138656590133905
50,b,0.004905281122773886
50,b,0.00509012583643198
50,b,0.0049728769809007645
50,b,0.00501202093437314
50,b,0.005024449434131384
50,b,0.0050527011044323444
50,b,0.00504457438364625
50,b,0.004955223761498928
50,b,0.004969610832631588
50,b,0.0037845508195459843
50,b,0.005088912323117256
50,b,0.0049193259328603745
50,b,0.00500778341665864
50,b,0.005036065820604563
50,b,0.005666579585522413
50,b,0.004827649798244238
50,b,0.004975887015461922
50,b,0.004985548555850983
50,b,0.004993421491235495
50,b,0.00492564681917429
50,b,0.00507578207179904
50,b,0.004899266175925732
50,b,0.004903997294604778
50,b,0.004999201279133558
50,b,0.00502357492223382
50,b,0.004934344906359911
50,b,0.005022537894546986
50,b,0.005098024848848581
50,b,0.00509583530947566
50,b,0.005026990082114935
50,b,0.004803168121725321
50,b,0.0052636596374213696
50,b,0.004204058088362217
50,b,0.005112043581902981
50,b,0.004831154830753803
50,b,0.004993373993784189
50,b,0.0051451437175273895
50,b,0.004351880867034197
50,b,0.0046823215670883656
50,b,0.00484806764870882
50,b,0.005123032256960869
50,b,0.005196681246161461
50,b,0.004926170688122511
50,b,0.004998404998332262
50,b,0.004657377488911152
50,b,0.004608911462128162
50,b,0.005068755708634853
50,b,0.004883212968707085
50,b,0.004920766688883305
50,b,0.0049902647733688354
50,b,0.004872081335633993
50,b,0.005014633759856224
50,b,0.005018149968236685
50,b,0.005002985708415508
50,b,0.004994707182049751
50,b,0.004843696486204863
50,b,0.004999039229005575
50,b,0.005023596808314323
50,b,0.004925127606838942
50,b,0.00503051420673728
