split_seed,fold,n_early,model,MAE,MedianAE,Within_50
103,1,150,GaussianProcess,200.26,148.54,0.1364
103,1,150,Neural_ODE,102.56,87.78,0.2727
103,1,150,XGBoost,86.61,46.55,0.5
103,2,50,PINN_Knee,132.79,55.93,0.4783
103,2,50,RandomForest,143.9,49.4,0.5217
103,2,50,PINN_UQ,167.43,79.19,0.2174
103,2,50,Ensemble_NN,188.7,116.95,0.3043
103,2,50,Pure_NN,188.7,116.95,0.3043
103,2,50,GaussianProcess,223.86,164.62,0.3043
103,2,50,Neural_ODE,124.48,34.09,0.5652
103,2,50,XGBoost,153.29,68.08,0.4783
103,2,100,PINN_Knee,174.25,125.38,0.2727
103,2,100,RandomForest,96.16,21.15,0.6818
103,2,100,PINN_UQ,142.82,72.56,0.4091
103,2,100,Ensemble_NN,159.78,90.34,0.3182
103,2,100,Pure_NN,159.78,90.34,0.3182
103,2,100,GaussianProcess,255.14,191.1,0.1818
103,2,100,Neural_ODE,139.75,89.16,0.4091
103,2,100,XGBoost,107.84,27.51,0.5909
103,2,150,PINN_Knee,101.85,31.53,0.7273
103,2,150,RandomForest,101.95,36.07,0.5
103,2,150,PINN_UQ,132.92,76.02,0.3182
103,2,150,Ensemble_NN,147.18,80.01,0.3636
103,2,150,Pure_NN,147.18,80.01,0.3636
103,2,150,GaussianProcess,228.48,165.3,0.0909
103,2,150,Neural_ODE,132.15,83.85,0.3182
103,2,150,XGBoost,129.76,50.53,0.5
103,3,50,PINN_Knee,139.59,70.46,0.3478
103,3,50,RandomForest,139.64,52.55,0.4348
103,3,50,PINN_UQ,191.55,178.13,0.1304
103,3,50,Ensemble_NN,160.54,117.62,0.3913
103,3,50,Pure_NN,160.54,117.62,0.3913
103,3,50,GaussianProcess,273.9,127.79,0.2174
103,3,50,Neural_ODE,194.26,121.98,0.3043
103,3,50,XGBoost,146.29,119.11,0.3478
103,3,100,PINN_Knee,139.22,78.52,0.381
103,3,100,RandomForest,103.1,58.62,0.381
103,3,100,PINN_UQ,157.0,154.38,0.2857
103,3,100,Ensemble_NN,218.91,119.82,0.2381
103,3,100,Pure_NN,218.91,119.82,0.2381
103,3,100,GaussianProcess,315.58,322.97,0.2857
103,3,100,Neural_ODE,188.26,119.92,0.2857
103,3,100,XGBoost,146.24,69.72,0.2857
103,3,150,PINN_Knee,109.36,68.0,0.4286
103,3,150,RandomForest,130.38,92.66,0.2857
103,3,150,PINN_UQ,128.53,99.41,0.3333
103,3,150,Ensemble_NN,144.46,102.2,0.2857
103,3,150,Pure_NN,144.46,102.2,0.2857
103,3,150,GaussianProcess,322.8,263.87,0.1905
103,3,150,Neural_ODE,124.54,58.23,0.4286
103,3,150,XGBoost,169.7,61.0,0.381
103,4,50,PINN_Knee,210.72,158.66,0.1739
103,4,50,RandomForest,195.4,149.34,0.2609
103,4,50,PINN_UQ,183.33,109.23,0.2174
103,4,50,Ensemble_NN,205.85,129.9,0.1304
103,4,50,Pure_NN,205.85,129.9,0.1304
103,4,50,GaussianProcess,305.98,242.61,0.087
103,4,50,Neural_ODE,168.87,114.36,0.3478
103,4,50,XGBoost,187.06,115.73,0.3913
103,4,100,PINN_Knee,185.53,132.22,0.2609
103,4,100,RandomForest,184.15,137.6,0.2174
103,4,100,PINN_UQ,180.25,106.5,0.2174
103,4,100,Ensemble_NN,188.18,111.78,0.1739
103,4,100,Pure_NN,188.18,111.78,0.1739
103,4,100,GaussianProcess,293.3,306.99,0.1739
103,4,100,Neural_ODE,187.76,153.32,0.2174
103,4,100,XGBoost,188.08,181.52,0.2609
103,4,150,PINN_Knee,143.64,81.51,0.4545
103,4,150,RandomForest,156.67,140.51,0.2727
103,4,150,PINN_UQ,161.13,77.81,0.2727
103,4,150,Ensemble_NN,172.95,97.4,0.1364
103,4,150,Pure_NN,172.95,97.4,0.1364
103,4,150,GaussianProcess,321.49,215.34,0.1818
103,4,150,Neural_ODE,158.62,77.95,0.3636
103,4,150,XGBoost,168.32,115.05,0.3636
103,4,150,XGBoost,168.32,115.05,0.3636
