split_seed,fold,n_early,model,MAE,MedianAE,Within_50
42,4,100,PINN_Knee,153.24,91.36,0.3182
42,4,100,RandomForest,185.15,135.63,0.1818
42,4,100,PINN_UQ,172.71,117.58,0.1364
42,4,100,Ensemble_NN,153.1,133.04,0.2727
42,4,100,Pure_NN,153.1,133.04,0.2727
42,4,100,GaussianProcess,553.24,248.32,0.1364
42,4,100,Neural_ODE,160.18,77.47,0.3182
42,4,100,XGBoost,179.97,138.3,0.1818
42,4,150,PINN_Knee,133.92,75.28,0.35
42,4,150,RandomForest,146.62,94.62,0.4
42,4,150,PINN_UQ,137.47,103.06,0.4
42,4,150,Ensemble_NN,140.45,87.39,0.45
42,4,150,Pure_NN,140.45,87.39,0.45
42,4,150,GaussianProcess,303.08,176.72,0.1
42,4,150,Neural_ODE,140.62,74.12,0.4
42,4,150,XGBoost,133.57,97.6,0.35
100,0,50,PINN_Knee,115.57,48.11,0.5
100,0,50,RandomForest,133.38,107.83,0.2083
100,0,50,PINN_UQ,133.53,69.78,0.4167
100,0,50,Ensemble_NN,149.85,124.37,0.2917
100,0,50,Pure_NN,149.85,124.37,0.2917
100,0,50,GaussianProcess,373.58,216.89,0.0
100,0,50,Neural_ODE,134.91,68.14,0.4167
100,0,50,XGBoost,192.4,145.12,0.25
100,0,100,PINN_Knee,123.59,70.01,0.4167
100,0,100,RandomForest,109.65,76.65,0.375
100,0,100,PINN_UQ,157.49,103.71,0.3333
100,0,100,Ensemble_NN,265.24,213.38,0.0417
100,0,100,Pure_NN,265.24,213.38,0.0417
100,0,100,GaussianProcess,1475.05,320.45,0.0417
100,0,100,Neural_ODE,177.56,153.35,0.125
100,0,100,XGBoost,142.13,97.61,0.2917
100,0,150,PINN_Knee,101.61,79.43,0.4545
100,0,150,RandomForest,137.8,80.16,0.3182
100,0,150,PINN_UQ,98.4,65.01,0.4091
100,0,150,Ensemble_NN,165.91,148.25,0.2727
100,0,150,Pure_NN,165.91,148.25,0.2727
100,0,150,GaussianProcess,213.29,143.19,0.2273
100,0,150,Neural_ODE,135.71,111.15,0.1818
100,0,150,XGBoost,135.59,78.5,0.2727
100,1,50,PINN_Knee,156.28,80.61,0.25
100,1,50,RandomForest,162.57,72.82,0.4167
100,1,50,PINN_UQ,187.79,93.58,0.25
100,1,50,Ensemble_NN,169.61,111.5,0.3333
100,1,50,Pure_NN,169.61,111.5,0.3333
100,1,50,GaussianProcess,563.47,349.42,0.0417
100,1,50,Neural_ODE,172.99,66.39,0.3333
100,1,50,XGBoost,233.98,147.0,0.25
100,1,100,PINN_Knee,156.24,91.27,0.3478
100,1,100,RandomForest,143.32,101.32,0.3913
100,1,100,PINN_UQ,173.75,134.39,0.2174
100,1,100,Ensemble_NN,192.67,101.2,0.2174
100,1,100,Pure_NN,192.67,101.2,0.2174
100,1,100,GaussianProcess,699.82,257.02,0.087
100,1,100,Neural_ODE,185.97,157.93,0.2174
100,1,100,XGBoost,162.27,143.94,0.3043
100,1,150,PINN_Knee,142.85,81.08,0.3478
100,1,150,RandomForest,129.48,71.13,0.4348
100,1,150,PINN_UQ,146.55,94.68,0.3043
100,1,150,Ensemble_NN,160.14,104.16,0.3478
100,1,150,Pure_NN,160.14,104.16,0.3478
100,1,150,GaussianProcess,240.6,180.95,0.2609
100,1,150,Neural_ODE,146.74,94.62,0.2174
100,1,150,XGBoost,139.89,92.08,0.4348
100,2,50,PINN_Knee,207.72,145.38,0.3478
100,2,50,RandomForest,192.62,137.74,0.3913
100,2,50,PINN_UQ,234.47,147.83,0.1739
100,2,50,Ensemble_NN,204.06,91.49,0.2609
