n_early,cv_picp,cv_mpiw,gp_nominal,gp_picp,gp_mpiw,verdict
50,0.9576,1038.22,0.9980000000000001,0.9652173913043479,2077.3242987932563,CV+ HEP hon
100,0.9739000000000001,979.0600000000001,0.9880000000000001,0.9818181818181817,1351.6551245236974,CV+ HEP hon
150,0.9730800000000001,730.76,0.9960000000000001,0.9813043478260869,1084.8167875530949,CV+ HEP hon
