n_early,pinn_tr,pinn_trcal,pinn_tr_medae,pinn_trcal_medae,classical_trcal
50,159.2186035598534,152.96233880969064,79.23408610026041,83.28179423014323,148.08
100,139.61215505142255,138.63373246722156,69.6005147298177,82.42819112141927,134.35
150,117.36094178199589,117.72712090162268,59.45992736816406,66.45768839518229,114.18
